year,gdp
1976,55.60
1977,61.43
1978,64.96
1979,71.32
1980,76.60
1981,81.60
1982,87.63
1983,93.33
1984,98.01
1985,103.42
1986,108.96
1987,113.09
1988,118.58
1989,126.84
1990,136.21
1991,146.08
1992,154.21
1993,159.16
1994,167.01
1995,176.61
1996,182.54
1997,188.72
1998,196.35
1999,203.85
2000,213.61
2001,220.53
2002,226.74
2003,231.86
2004,242.35
2005,254.08
2006,267.82
2007,283.98
2008,293.76
2009,288.04
2010,295.90
2011,310.13
2012,318.65
2013,323.91
2014,333.15
2015,344.27
2016,357.61
2017,369.34
2018,385.36
2019,397.58
